spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,domain,shortDescription,materialComponents
Acid Arrow,conjuration,creation,acid,"sorcerer/wizard 2, magus 2, bloodrager 2",1 standard action,"V, S, M (rhubarb leaf and an adder&apos;s stomach), F (a dart)",long (400 ft. + 40 ft./level),,one arrow of acid,,1 round + 1 round per three levels,none,no,"&lt;p&gt;An arrow of acid springs from your hand and speeds to its target. You must succeed on a ranged touch attack to hit your target. The arrow deals 2d4 points of acid damage with no splash damage. For every three caster levels you possess, the acid, unless neutralized, lasts for another round (to a maximum of 6 additional rounds at 18th level), dealing another 2d4 points of damage in each round.&lt;/p&gt;",PFRPG Core,,Ranged touch attack; 2d4 damage for 1 round + 1 round/three levels.,NULL
Acid Fog,conjuration,creation,acid,"sorcerer/wizard 6, magus 6, unchained summoner 6",1 standard action,"V, S, M (powdered peas and an animal hoof)",medium (100 ft. + 10 ft./level),,"fog spreads in 20-ft. radius, 20 ft. high",,1 round/level,none,no,"&lt;p&gt;&lt;i&gt;Acid fog&lt;/i&gt; creates a billowing mass of misty vapors like the &lt;i&gt;solid fog&lt;/i&gt; spell. In addition to slowing down creatures and obscuring sight, this spell&apos;s vapors are highly acidic. Each round on your turn, starting when you cast the spell, the fog deals 2d6 points of acid damage to each creature and object within it.&lt;/p&gt;",PFRPG Core,,Fog deals acid damage.,NULL
Acid Splash,conjuration,creation,acid,"sorcerer/wizard 0, summoner/unchained summoner 0, inquisitor 0, magus 0",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,one missile of acid,,instantaneous,none,no,&lt;p&gt;You fire a small orb of acid at the target. You must succeed on a ranged touch attack to hit your target. The orb deals 1d3 points of acid damage. This acid disappears after 1 round.&lt;/p&gt;,PFRPG Core,,Orb deals 1d3 acid damage.,NULL
Aid,enchantment,compulsion,mind-affecting,"cleric/oracle 2, inquisitor 2, alchemist 2, shaman 2, spiritualist 2, medium 2",1 standard action,"V, S, DF",touch,,,living creature touched,1 min./level,none,yes (harmless),"&lt;p&gt;&lt;i&gt;Aid&lt;/i&gt; grants the target a +1 morale bonus on attack rolls and saves against fear effects, plus temporary hit points equal to 1d8 + caster level (to a maximum of 1d8+10 temporary hit points at caster level 10th).&lt;/p&gt;",PFRPG Core,"Luck (2), Tactics (2)","+1 on attack rolls and saves against fear, 1d8 temporary hp +1/level (max +10).",NULL
Air Walk,transmutation,,air,"cleric/oracle 4, druid 4, alchemist 4, occultist 4",1 standard action,"V, S, DF",touch,,,creature (Gargantuan or smaller) touched,10 min./level,none,yes (harmless),"&lt;p&gt;The subject can tread on air as if walking on solid ground. Moving upward is similar to walking up a hill. The maximum upward or downward angle possible is 45 degrees, at a rate equal to half the air walker&apos;s normal speed.&lt;/p&gt;&lt;p&gt;A strong wind (21+ miles per hour) can push the subject along or hold it back. At the end of a creature&apos;s turn each round, the wind blows the air walker 5 feet for each 5 miles per hour of wind speed. The creature may be subject to additional penalties in exceptionally strong or turbulent winds, such as loss of control over movement or physical damage from being buffeted about.&lt;/p&gt;&lt;p&gt;Should the spell duration expire while the subject is still aloft, the magic fails slowly. The subject floats downward 60 feet per round for 1d6 rounds. If it reaches the ground in that amount of time, it lands safely. If not, it falls the rest of the distance, taking 1d6 points of damage per 10 feet of fall. Since dispelling a spell effectively ends it, the subject also descends in this way if the &lt;i&gt;air walk&lt;/i&gt; spell is dispelled, but not if it is negated by an &lt;i&gt;antimagic field&lt;/i&gt;.&lt;/p&gt;&lt;p&gt;You can cast &lt;i&gt;air walk&lt;/i&gt; on a specially trained mount so it can be ridden through the air. You can train a mount to move with the aid of &lt;i&gt;air walk&lt;/i&gt; (counts as a trick; see Handle Animal skill) with 1 week of work and a DC 25 Handle Animal check.&lt;/p&gt;",PFRPG Core,Air (4),Subject treads on air as if solid (climb or descend at 45-degree angle).,NULL
Align Weapon,transmutation,,see text,"cleric/oracle 2, inquisitor 2",1 standard action,"V, S, DF",touch,,,weapon touched or 50 projectiles (all of which must be together at the time of casting),1 min./level,"Will negates (harmless, object)","yes (harmless, object)","&lt;p&gt;&lt;i&gt;Align weapon&lt;/i&gt; makes a weapon chaotic, evil, good, or lawful, as you choose. A weapon that is aligned can bypass the damage reduction of certain creatures. This spell has no effect on a weapon that already has an alignment.&lt;/p&gt;&lt;p&gt;You can&apos;t cast this spell on a natural weapon, such as an unarmed strike. When you make a weapon chaotic, evil, good, or lawful, &lt;i&gt;align weapon&lt;/i&gt; is a chaotic, evil, good, or lawful spell, respectively.&lt;/p&gt;",PFRPG Core,"Chaos (2), Evil (2), Good (2), Law (2), Demodand (2)","Weapon becomes good, evil, lawful, or chaotic.",NULL
Alter Self,transmutation,polymorph,,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",1 standard action,"V, S, M (a piece of the creature whose form you plan to assume)",personal,,,you,1 min./level,,,"&lt;p&gt;When you cast this spell, you can assume the form of any Small or Medium creature of the humanoid type. If the form you assume has any of the following abilities, you gain the listed ability: darkvision 60 feet, low-light vision, scent, and swim 30 feet.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Small creature&lt;/i&gt;: If the form you take is that of a Small humanoid, you gain a +2 size bonus to your Dexterity.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Medium creature&lt;/i&gt;: If the form you take is that of a Medium humanoid, you gain a +2 size bonus to your Strength.&lt;/p&gt;",PFRPG Core,,Assume form of a Small or Medium humanoid.,NULL
Alarm,abjuration,,,"bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1",1 standard action,"V, S, F/DF (a tiny bell and a piece of very fine silver wire)",close (25 ft. + 5 ft./2 levels),20-ft.-radius emanation centered on a point in space,,,2 hours/level,none,no,"&lt;p&gt;&lt;i&gt;Alarm&lt;/i&gt; creates a subtle ward on an area you select. Once the spell effect is in place, it thereafter sounds a mental or audible alarm each time a creature of Tiny or larger size enters the warded area or touches it. A creature that speaks the password (determined by you at the time of casting) does not set off the &lt;i&gt;alarm&lt;/i&gt;. You decide at the time of casting whether the &lt;i&gt;alarm&lt;/i&gt; will be mental or audible in nature.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Mental Alarm&lt;/i&gt;: A mental &lt;i&gt;alarm&lt;/i&gt; alerts you (and only you) so long as you remain within 1 mile of the warded area. You note a single mental ping that awakens you from normal sleep but does not otherwise disturb concentration. A silence spell has no effect on a mental &lt;i&gt;alarm&lt;/i&gt;.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Audible Alarm&lt;/i&gt;: An audible &lt;i&gt;alarm&lt;/i&gt; produces the sound of a hand bell, and anyone within 60 feet of the warded area can hear it clearly. Reduce the distance by 10 feet for each interposing closed door and by 20 feet for each substantial interposing wall.&lt;/p&gt;&lt;p&gt;In quiet conditions, the ringing can be heard faintly as far as 180 feet away. The sound lasts for 1 round. Creatures within a &lt;i&gt;silence&lt;/i&gt; spell cannot hear the ringing.  Ethereal or astral creatures do not trigger the &lt;i&gt;alarm&lt;/i&gt;.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Alarm&lt;/i&gt; can be made permanent with a &lt;i&gt;permanency&lt;/i&gt; spell.&lt;/p&gt;",PFRPG Core,"Home (1), Ambush (1)",Wards an area for 2 hours/level.,NULL
Analyze Dweomer,divination,,,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6, occultist 6, psychic 6, spiritualist 6",1 standard action,"V, S, F (a ruby and gold lens worth 1,500 gp)",close (25 ft. + 5 ft./2 levels),,,one object or creature per caster level,1 round/level,none or Will negates; see text,no,"&lt;p&gt;You can observe magical auras. Each round, you may examine a single creature or object that you can see as a free action. In the case of a magic item, you learn its functions (including any curse effects), how to activate its functions (if appropriate), and how many charges are left (if it uses charges). In the case of an object or creature with active spells cast upon it, you learn each spell, its effect, and its caster level.&lt;/p&gt;&lt;p&gt;An attended object may attempt a Will save to resist this effect if its holder so desires. If the save succeeds, you learn nothing about the object except what you can discern by looking at it. An object that makes its save cannot be affected by any other &lt;i&gt;analyze dweomer&lt;/i&gt; spells for 24 hours.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Analyze dweomer&lt;/i&gt; does not function when used on an artifact.&lt;/p&gt;",PFRPG Core,Arcane (6),Reveals magical aspects of subject.,1500
Animal Growth,transmutation,,,"druid 5, ranger 4, sorcerer/wizard 5, shaman 5",1 standard action,"V, S",medium (100 ft. + 10 ft./level),,,one animal (Gargantuan or smaller),1 min./level,Fortitude negates,yes,"&lt;p&gt;The target animal grows to twice its normal size and eight times its normal weight. This alteration changes the animal&apos;s size category to the next largest, grants it a +8 size bonus to Strength and a +4 size bonus to Constitution (and thus an extra 2 hit points per HD), and imposes a -2 size penalty to Dexterity. The creature&apos;s existing natural armor bonus increases by 2. The size change also affects the animal&apos;s modifier to AC, attack rolls, and its base damage. The animal&apos;s space and reach change as appropriate to the new size, but its speed does not change. If insufficient room is available for the desired growth, the creature attains the maximum possible size and may make a Strength check (using its increased Strength) to burst any enclosures in the process. If it fails, it is constrained without harm by the materials enclosing it--the spell cannot be used to crush a creature by increasing its size.&lt;/p&gt;&lt;p&gt;All equipment worn or carried by the animal is similarly enlarged by the spell, though this change has no effect on the magical properties of any such equipment.&lt;/p&gt;&lt;p&gt;Any enlarged item that leaves the enlarged creature&apos;s possession instantly returns to its normal size.&lt;/p&gt;&lt;p&gt;The spell gives no means of command over an enlarged animal.&lt;/p&gt;&lt;p&gt;Multiple magical effects that increase size do not stack.&lt;/p&gt;",PFRPG Core,Scalykind (5),One animal doubles in size.,NULL
