name,school,subschool,descriptor,spell_level,Sorcerer,Wizard,Cleric,Druid,Ranger,Bard,Paladin,Alchemist,Summoner,Witch,Inquisitor,Oracle,Antipaladin,Magus,Adept,Bloodrager,Shaman,Psychic,Medium,Mesmerist,Occultist,Spiritualist,Skald,Investigator,Hunter,SLA_Level,domain,acid,air,chaotic,cold,curse,darkness,death,disease,earth,electricity,emotion,evil,fear,fire,force,good,language_dependent,lawful,light,mind_affecting,pain,poison,shadow,sonic,water
Acid Arrow,Conjuration,creation,acid,"sorcerer/wizard 2, magus 2, bloodrager 2",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acid Fog,Conjuration,creation,acid,"sorcerer/wizard 6, magus 6, unchained summoner 6",6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acid Splash,Conjuration,creation,acid,"sorcerer/wizard 0, summoner/unchained summoner 0, inquisitor 0, magus 0",0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aid,Enchantment,compulsion,mind-affecting,"cleric/oracle 2, inquisitor 2, alchemist 2, shaman 2, spiritualist 2, medium 2",NULL,NULL,2,NULL,NULL,NULL,NULL,2,NULL,NULL,2,2,NULL,NULL,2,NULL,2,NULL,2,NULL,NULL,2,NULL,NULL,NULL,2,"Luck (2), Tactics (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Air Walk,Transmutation,,air,"cleric/oracle 4, druid 4, alchemist 4, occultist 4",NULL,NULL,4,4,NULL,NULL,NULL,4,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,4,4,Air (4),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Align Weapon,Transmutation,,see text,"cleric/oracle 2, inquisitor 2",NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,"Chaos (2), Evil (2), Good (2), Law (2), Demodand (2)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alter Self,Transmutation,polymorph,,"bard 2, sorcerer/wizard 2, witch 2, summoner/unchained summoner 2, alchemist 2, magus 2, shaman 2, psychic 2, mesmerist 2, medium 2",2,2,NULL,NULL,NULL,2,NULL,2,2,2,NULL,NULL,NULL,2,NULL,NULL,2,2,2,2,NULL,NULL,NULL,NULL,NULL,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alarm,Abjuration,,,"bard 1, ranger 1, sorcerer/wizard 1, summoner/unchained summoner 1, inquisitor 1, occultist 1, psychic 1, spiritualist 1",1,1,NULL,NULL,1,1,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1,NULL,NULL,1,1,"Home (1), Ambush (1)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analyze Dweomer,Divination,,,"bard 6, sorcerer/wizard 6, witch 6, alchemist 6, occultist 6, psychic 6, spiritualist 6",6,6,NULL,NULL,NULL,6,NULL,6,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,6,6,NULL,NULL,NULL,6,Arcane (6),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal Growth,Transmutation,,,"druid 5, ranger 4, sorcerer/wizard 5, shaman 5",5,5,NULL,5,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,5,Scalykind (5),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal Messenger,Enchantment,compulsion,mind-affecting,"bard 2, druid 2, ranger 1, shaman 2, psychic 2, mesmerist 2",NULL,NULL,NULL,2,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,2,NULL,2,NULL,NULL,NULL,NULL,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Animal Shapes,Transmutation,polymorph,,"druid 8, shaman 8",NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,"Animal (7), Scalykind (8)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animal Trance,Enchantment,compulsion,"mind-affecting, sonic","bard 2, druid 2, psychic 2, mesmerist 2",NULL,NULL,NULL,2,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,2,NULL,2,NULL,NULL,NULL,NULL,2,2,Scalykind (2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Animate Dead,Necromancy,,evil,"cleric/oracle 3, sorcerer/wizard 4, antipaladin 3, shaman 3, occultist 3, spiritualist 3",4,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,3,NULL,3,NULL,3,NULL,NULL,NULL,3,3,NULL,NULL,NULL,4,"Death (3), Souls (3)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Animate Objects,Transmutation,,,"bard 6, cleric/oracle 6, witch 6, occultist 6, psychic 6",NULL,NULL,6,NULL,NULL,6,NULL,NULL,NULL,6,NULL,6,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,6,NULL,NULL,NULL,NULL,6,"Chaos (6), Flotsam (6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animate Plants,Transmutation,,,"druid 7, shaman 7",NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,Plant (7),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Animate Rope,Transmutation,,,"bard 1, sorcerer/wizard 1, psychic 1, mesmerist 1",1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,1,NULL,NULL,NULL,NULL,NULL,1,Artifice (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
